Area,Year,ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
Australia,2001,18209,534,32710,16.63
Australia,2001,18209,534,32710,20.21
Australia,2001,18209,534,32710,12.29
Australia,2001,18209,534,32710,14.18
Australia,2001,18209,534,32710,18.39
Australia,2001,18209,534,32710,17.85
Australia,2002,21076,534,26651,16.63
Australia,2002,21076,534,26651,20.38
Australia,2002,21076,534,26651,12.31
Australia,2002,21076,534,26651,14.08
Australia,2002,21076,534,26651,18.93
Australia,2002,21076,534,26651,17.73
Australia,2004,19998,534,36276,16.64
Australia,2004,19998,534,36276,20.42
Australia,2004,19998,534,36276,12.35
Australia,2004,19998,534,36276,13.74
Australia,2004,19998,534,36276,18.87
Australia,2004,19998,534,36276,17.87
Australia,2005,16348,534,34310,16.93
Australia,2005,16348,534,34310,20.71
Australia,2005,16348,534,34310,12.48
Australia,2005,16348,534,34310,14.38
Australia,2005,16348,534,34310,18.26
Australia,2005,16348,534,34310,18.03
Australia,2006,20213,534,35900,16.75
Australia,2006,20213,534,35900,20.17
Australia,2006,20213,534,35900,12.51
Australia,2006,20213,534,35900,13.99
Australia,2006,20213,534,35900,18.99
Australia,2006,20213,534,35900,17.75
Australia,2007,9173,534,32446.25,17.49
Australia,2007,9173,534,32446.25,20.31
Australia,2007,9173,534,32446.25,12.83
Australia,2007,9173,534,32446.25,14.99
Australia,2007,9173,534,32446.25,18.84
Australia,2007,9173,534,32446.25,18.02
Australia,2008,10788,534,42935.38,16.7
Australia,2008,10788,534,42935.38,19.79
Australia,2008,10788,534,42935.38,12
Australia,2008,10788,534,42935.38,14.11
Australia,2008,10788,534,42935.38,18.78
Australia,2008,10788,534,42935.38,17.32
Australia,2009,15831,534,38065.68,17.39
Australia,2009,15831,534,38065.68,20.65
Australia,2009,15831,534,38065.68,12.87
Australia,2009,15831,534,38065.68,14.65
Australia,2009,15831,534,38065.68,19.01
Australia,2009,15831,534,38065.68,18.18
Australia,2010,15729,534,42169.39,16.72
Australia,2010,15729,534,42169.39,20.33
Australia,2010,15729,534,42169.39,12.37
Australia,2010,15729,534,42169.39,14.23
Australia,2010,15729,534,42169.39,19.09
Australia,2010,15729,534,42169.39,18
Australia,2011,20301,534,47632.99,16.9
Australia,2011,20301,534,47632.99,19.88
Australia,2011,20301,534,47632.99,12.16
Australia,2011,20301,534,47632.99,14.19
Australia,2011,20301,534,47632.99,19.99
Australia,2011,20301,534,47632.99,17.71
Australia,2012,21511,534,48687.88,16.84
Australia,2012,21511,534,48687.88,20.08
Australia,2012,21511,534,48687.88,11.79
Australia,2012,21511,534,48687.88,14.27
Australia,2012,21511,534,48687.88,19.55
Australia,2012,21511,534,48687.88,17.47
Australia,2013,17609,534,45177.18,17.39
Australia,2013,17609,534,45177.18,20.14
Australia,2013,17609,534,45177.18,12.19
Australia,2013,17609,534,45177.18,14.74
Australia,2013,17609,534,45177.18,19.98
Australia,2013,17609,534,45177.18,18.09
Austria,1990,50479,1110,4246,9.23
Austria,1991,50735,1110,4487,8.15
Austria,1992,53938,1110,3897,9.49
Austria,1993,42246,1110,3984,8.48
Austria,1994,52088,1110,3619,9.89
Austria,1995,50856,1110,3402,8.79
Austria,1996,50069,1110,3565,7.4
Austria,1997,52044,1110,3689.6,8.37
Austria,1998,50749,1110,3340.3,9.01
Austria,1999,54348,1110,3418.6,9.17
Austria,2000,44688,1110,3563.2,10.08
Austria,2001,52412,1110,3132.2,8.75
Austria,2002,49667,1110,3079.2,9.62
Austria,2004,59234,1110,3301.7,8.76
Austria,2005,50286,1110,3404,8.6
Austria,2006,49066,1110,3415.7,9.13
Austria,2007,47763,1110,3526.6,10.03
Austria,2008,56935,1110,4246.7,9.96
Austria,2009,49295,1110,3531.8,9.48
Austria,2010,50117,1110,3692.4,8.36
Austria,2011,58549,1110,3441.5,9.42
Austria,2012,41388,1110,3563.3,9.42
Austria,2013,53743,1110,3108.6,10.03
Azerbaijan,1992,21705,447,148.68,10.93
Azerbaijan,1993,16855,447,148.68,10.53
Azerbaijan,1994,16296,447,148.68,11.32
Azerbaijan,1995,14940,447,148.68,12.81
Azerbaijan,1996,16627,447,148.68,11.96
Azerbaijan,1997,16914,447,148.68,11.89
Azerbaijan,1998,15764,447,148.68,12.79
Azerbaijan,1999,19992,447,148.68,12.74
Azerbaijan,2000,23223,447,148.68,12.61
Azerbaijan,2001,26154,447,148.68,12.97
Azerbaijan,2002,26028,447,148.68,12.45
Azerbaijan,2004,25748,447,148.68,12.76
Azerbaijan,2005,25818,447,148.68,12.88
Azerbaijan,2006,26050,447,148.68,12.66
Azerbaijan,2007,26722,447,148.68,12.75
Azerbaijan,2008,27251,447,262.99,12.3
Azerbaijan,2009,25946,447,316.18,12.6
Azerbaijan,2010,19381,447,333.85,13.85
Azerbaijan,2011,24376,447,461.84,11.79
Azerbaijan,2012,26144,447,516.35,13
Azerbaijan,2013,26719,447,489.8,14.12
Bangladesh,1990,15034,2666,1266,25.98
Bangladesh,1990,15034,2666,1266,25.98
Bangladesh,1991,16767,2666,1287,25.85
Bangladesh,1991,16767,2666,1287,25.85
Bangladesh,1992,18534,2666,1453,25.86
Bangladesh,1992,18534,2666,1453,25.86
Bangladesh,1993,18457,2666,1487,25.73
Bangladesh,1993,18457,2666,1487,25.73
Bangladesh,1994,18390,2666,1594.5,25.91
Bangladesh,1994,18390,2666,1594.5,25.91
Bangladesh,1995,19483,2666,1702,26.09
Bangladesh,1995,19483,2666,1702,26.09
Bangladesh,1996,19531,2666,1919,26.15
Bangladesh,1996,19531,2666,1919,26.15
Bangladesh,1997,20544,2666,2035,25.55
Bangladesh,1997,20544,2666,2035,25.55
Bangladesh,1998,22408,2666,2068,26.13
Bangladesh,1998,22408,2666,2068,26.13
Bangladesh,1999,21627,2666,2532,26.31
Bangladesh,1999,21627,2666,2532,26.31
Bangladesh,2000,22104,2666,3170,25.91
Bangladesh,2000,22104,2666,3170,25.91
Bangladesh,2001,21643,2666,3295.78,25.93
Bangladesh,2001,21643,2666,3295.78,25.93
Bangladesh,2002,21644,2666,2954.29,26.1
Bangladesh,2002,21644,2666,2954.29,26.1
Bangladesh,2004,19527,2666,5587.81,26.14
Bangladesh,2004,19527,2666,5587.81,26.14
Bangladesh,2005,17478,2666,7605.01,26.19
Bangladesh,2005,17478,2666,7605.01,26.19
Bangladesh,2006,15344,2666,9074.43,26.44
Bangladesh,2006,15344,2666,9074.43,26.44
Bangladesh,2007,18471,2666,10962.31,25.95
Bangladesh,2007,18471,2666,10962.31,25.95
Bangladesh,2008,21753,2666,12936.5,26
Bangladesh,2008,21753,2666,12936.5,26
Bangladesh,2009,21516,2666,13790.09,26.54
Bangladesh,2009,21516,2666,13790.09,26.54
Bangladesh,2010,23959,2666,13283.72,26.65
Bangladesh,2010,23959,2666,13283.72,26.65
Bangladesh,2011,26012,2666,14798.28,25.8
Bangladesh,2011,26012,2666,14798.28,25.8
Bangladesh,2012,27789,2666,13289.18,26.28
Bangladesh,2012,27789,2666,13289.18,26.28
Bangladesh,2013,30138,2666,15330.16,26.59
Bangladesh,2013,30138,2666,15330.16,26.59
Belarus,1992,27983,618,8306.31,6.74
Belarus,1993,26826,618,8306.31,5.61
Belarus,1994,22802,618,8306.31,6.26
Belarus,1995,24791,618,8306.31,6.68
Belarus,1996,21989,618,8306.31,5.32
Belarus,1997,25132,618,8306.31,5.98
Belarus,1998,21347,618,8306.31,6.11
Belarus,1999,17322,618,8306.31,7.38
Belarus,2000,21367,618,8306.31,7.52
Belarus,2001,21255,618,8306.31,6.71
Belarus,2002,26919,618,8306.31,7.34
Belarus,2004,33040,618,8306.31,6.49
Belarus,2005,32812,618,8306.31,6.53
Belarus,2006,28191,618,8306.31,6.6
Belarus,2007,32771,618,8306.31,7.51
Belarus,2008,39752,618,8306.31,7.75
Belarus,2009,35428,618,8306.31,6.75
Belarus,2010,28851,618,8306.31,6.71
Belarus,2011,33088,618,8306.31,7.29
Belarus,2012,35822,618,9578.67,6.33
Belarus,2013,30610,618,9163.51,7.83
Belgium,2000,79198,847,9560.49,11.37
Belgium,2001,80475,847,8529.07,10.94
Belgium,2002,82757,847,9204,11.44
Belgium,2004,89806,847,9186,10.94
Belgium,2005,82733,847,9776,11.16
Belgium,2006,82549,847,8244.02,11.48
Belgium,2007,78908,847,6712.05,11.52
Belgium,2008,87585,847,6516.47,10.9
Belgium,2009,94652,847,5496.04,11
Belgium,2010,88272,847,4644.53,9.74
Belgium,2011,84046,847,5740.44,11.69
Belgium,2012,84522,847,6139.3,10.68
Belgium,2013,89349,847,5905.6,10.36
Botswana,1990,26178,416,17,19.54
Botswana,1991,22464,416,19,19.29
Botswana,1992,21653,416,17,20.59
Botswana,1993,20843,416,17,19.97
Botswana,1994,20032,416,17,19.26
Botswana,1995,19222,416,17,19.96
Botswana,1996,19009,416,17,19.1
Botswana,1997,17235,416,17,19.26
Botswana,1998,16667,416,17,20.05
Botswana,1999,16337,416,17,20.24
Botswana,2000,15878,416,17,18.97
Botswana,2001,15714,416,17,19.36
Botswana,2002,14563,416,17,19.89
Botswana,2004,12692,416,17,19.41
Botswana,2005,11614,416,17,20.42
Botswana,2006,10452,416,17,18.97
Botswana,2007,9000,416,17,19.71
Botswana,2008,8000,416,17,19.63
Brazil,1990,11540,1761,49695,21.88
Brazil,1990,11540,1761,49695,20.29
Brazil,1990,11540,1761,49695,17.77
Brazil,1990,11540,1761,49695,17.77
Brazil,1990,11540,1761,49695,27.65
Brazil,1990,11540,1761,49695,20.29
Brazil,1990,11540,1761,49695,27.07
Brazil,1990,11540,1761,49695,18.47
Brazil,1990,11540,1761,49695,25.76
Brazil,1990,11540,1761,49695,24.64
Brazil,1990,11540,1761,49695,25.29
Brazil,1991,14232,1761,58349.44,21.43
Brazil,1991,14232,1761,58349.44,20.13
Brazil,1991,14232,1761,58349.44,17.95
Brazil,1991,14232,1761,58349.44,17.95
Brazil,1991,14232,1761,58349.44,27.34
Brazil,1991,14232,1761,58349.44,20.13
Brazil,1991,14232,1761,58349.44,27.21
Brazil,1991,14232,1761,58349.44,19.11
Brazil,1991,14232,1761,58349.44,25.57
Brazil,1991,14232,1761,58349.44,24.25
Brazil,1991,14232,1761,58349.44,25.06
Brazil,1992,14295,1761,67003.89,21.35
Brazil,1992,14295,1761,67003.89,20.21
Brazil,1992,14295,1761,67003.89,17.8
Brazil,1992,14295,1761,67003.89,17.8
Brazil,1992,14295,1761,67003.89,27.58
Brazil,1992,14295,1761,67003.89,20.21
Brazil,1992,14295,1761,67003.89,27.42
Brazil,1992,14295,1761,67003.89,18.72
Brazil,1992,14295,1761,67003.89,25.61
Brazil,1992,14295,1761,67003.89,24.24
Brazil,1992,14295,1761,67003.89,24.97
Brazil,1993,14825,1761,75658.33,21.94
Brazil,1993,14825,1761,75658.33,20.49
Brazil,1993,14825,1761,75658.33,17.93
Brazil,1993,14825,1761,75658.33,17.93
Brazil,1993,14825,1761,75658.33,28.18
Brazil,1993,14825,1761,75658.33,20.49
Brazil,1993,14825,1761,75658.33,26.89
Brazil,1993,14825,1761,75658.33,18.69
Brazil,1993,14825,1761,75658.33,26.06
Brazil,1993,14825,1761,75658.33,24.65
Brazil,1993,14825,1761,75658.33,25.41
Brazil,1994,15541,1761,84312.78,21.91
Brazil,1994,15541,1761,84312.78,20.77
Brazil,1994,15541,1761,84312.78,18.42
Brazil,1994,15541,1761,84312.78,18.42
Brazil,1994,15541,1761,84312.78,27.53
Brazil,1994,15541,1761,84312.78,20.77
Brazil,1994,15541,1761,84312.78,26.9
Brazil,1994,15541,1761,84312.78,19.15
Brazil,1994,15541,1761,84312.78,26.05
Brazil,1994,15541,1761,84312.78,24.71
Brazil,1994,15541,1761,84312.78,25.42
Brazil,1995,15420,1761,92967.22,22.07
Brazil,1995,15420,1761,92967.22,20.61
Brazil,1995,15420,1761,92967.22,18.27
Brazil,1995,15420,1761,92967.22,18.27
Brazil,1995,15420,1761,92967.22,27.52
Brazil,1995,15420,1761,92967.22,20.61
Brazil,1995,15420,1761,92967.22,27.34
Brazil,1995,15420,1761,92967.22,18.89
Brazil,1995,15420,1761,92967.22,26.05
Brazil,1995,15420,1761,92967.22,24.77
Brazil,1995,15420,1761,92967.22,25.65
Brazil,1996,18334,1761,101621.67,21.56
Brazil,1996,18334,1761,101621.67,20.18
Brazil,1996,18334,1761,101621.67,17.83
Brazil,1996,18334,1761,101621.67,17.83
Brazil,1996,18334,1761,101621.67,27.6
Brazil,1996,18334,1761,101621.67,20.18
Brazil,1996,18334,1761,101621.67,27.07
Brazil,1996,18334,1761,101621.67,18.63
Brazil,1996,18334,1761,101621.67,25.94
Brazil,1996,18334,1761,101621.67,24.28
Brazil,1996,18334,1761,101621.67,25.45
Brazil,1997,16359,1761,110276.11,21.91
Brazil,1997,16359,1761,110276.11,20.77
Brazil,1997,16359,1761,110276.11,18.36
Brazil,1997,16359,1761,110276.11,18.36
Brazil,1997,16359,1761,110276.11,27.85
Brazil,1997,16359,1761,110276.11,20.77
Brazil,1997,16359,1761,110276.11,27.57
Brazil,1997,16359,1761,110276.11,19.12
Brazil,1997,16359,1761,110276.11,25.96
Brazil,1997,16359,1761,110276.11,24.71
Brazil,1997,16359,1761,110276.11,25.2
Brazil,1998,16111,1761,118930.56,22.35
Brazil,1998,16111,1761,118930.56,20.71
Brazil,1998,16111,1761,118930.56,18.2
Brazil,1998,16111,1761,118930.56,18.2
Brazil,1998,16111,1761,118930.56,28.76
Brazil,1998,16111,1761,118930.56,20.71
Brazil,1998,16111,1761,118930.56,27.54
Brazil,1998,16111,1761,118930.56,18.49
Brazil,1998,16111,1761,118930.56,26.63
Brazil,1998,16111,1761,118930.56,24.78
Brazil,1998,16111,1761,118930.56,26.08
Brazil,1999,19699,1761,127585,21.59
Brazil,1999,19699,1761,127585,20.04
Brazil,1999,19699,1761,127585,17.66
Brazil,1999,19699,1761,127585,17.66
Brazil,1999,19699,1761,127585,27.64
Brazil,1999,19699,1761,127585,20.04
Brazil,1999,19699,1761,127585,26.66
Brazil,1999,19699,1761,127585,18.39
Brazil,1999,19699,1761,127585,25.88
Brazil,1999,19699,1761,127585,24.01
Brazil,1999,19699,1761,127585,25.32
Brazil,2000,15156,1761,140423,21.69
Brazil,2000,15156,1761,140423,20.32
Brazil,2000,15156,1761,140423,18.01
Brazil,2000,15156,1761,140423,18.01
Brazil,2000,15156,1761,140423,27.5
Brazil,2000,15156,1761,140423,20.32
Brazil,2000,15156,1761,140423,26.82
Brazil,2000,15156,1761,140423,18.65
Brazil,2000,15156,1761,140423,25.71
Brazil,2000,15156,1761,140423,24.36
Brazil,2000,15156,1761,140423,25.35
Brazil,2001,19488,1761,151523,22.14
Brazil,2001,19488,1761,151523,20.96
Brazil,2001,19488,1761,151523,18.67
Brazil,2001,19488,1761,151523,18.67
Brazil,2001,19488,1761,151523,27.69
Brazil,2001,19488,1761,151523,20.96
Brazil,2001,19488,1761,151523,27.08
Brazil,2001,19488,1761,151523,19.73
Brazil,2001,19488,1761,151523,26.08
Brazil,2001,19488,1761,151523,24.99
Brazil,2001,19488,1761,151523,25.59
Brazil,2002,14754,1761,145552,22.5
Brazil,2002,14754,1761,145552,21.3
Brazil,2002,14754,1761,145552,19.09
Brazil,2002,14754,1761,145552,19.09
Brazil,2002,14754,1761,145552,27.85
Brazil,2002,14754,1761,145552,21.3
Brazil,2002,14754,1761,145552,27.27
Brazil,2002,14754,1761,145552,19.49
Brazil,2002,14754,1761,145552,26.01
Brazil,2002,14754,1761,145552,25.18
Brazil,2002,14754,1761,145552,25.56
Brazil,2004,20728,1761,214725,21.59
Brazil,2004,20728,1761,214725,20.05
Brazil,2004,20728,1761,214725,17.88
Brazil,2004,20728,1761,214725,17.88
Brazil,2004,20728,1761,214725,27.72
Brazil,2004,20728,1761,214725,20.05
Brazil,2004,20728,1761,214725,27.24
Brazil,2004,20728,1761,214725,18.75
Brazil,2004,20728,1761,214725,25.94
Brazil,2004,20728,1761,214725,24.24
Brazil,2004,20728,1761,214725,25.37
Brazil,2005,19735,1761,232232,22.05
Brazil,2005,19735,1761,232232,20.78
Brazil,2005,19735,1761,232232,18.53
Brazil,2005,19735,1761,232232,18.53
Brazil,2005,19735,1761,232232,28.17
Brazil,2005,19735,1761,232232,20.78
Brazil,2005,19735,1761,232232,27.6
Brazil,2005,19735,1761,232232,19.42
Brazil,2005,19735,1761,232232,26.27
Brazil,2005,19735,1761,232232,24.79
Brazil,2005,19735,1761,232232,25.7
Brazil,2006,15927,1761,238716,21.82
Brazil,2006,15927,1761,238716,20.6
Brazil,2006,15927,1761,238716,18.47
Brazil,2006,15927,1761,238716,18.47
Brazil,2006,15927,1761,238716,27.76
Brazil,2006,15927,1761,238716,20.6
Brazil,2006,15927,1761,238716,27.34
Brazil,2006,15927,1761,238716,19.35
Brazil,2006,15927,1761,238716,26.26
Brazil,2006,15927,1761,238716,24.57
Brazil,2006,15927,1761,238716,25.41
Brazil,2007,22199,1761,304031,22.19
Brazil,2007,22199,1761,304031,20.93
Brazil,2007,22199,1761,304031,18.66
Brazil,2007,22199,1761,304031,18.66
Brazil,2007,22199,1761,304031,27.92
Brazil,2007,22199,1761,304031,20.93
Brazil,2007,22199,1761,304031,27.32
Brazil,2007,22199,1761,304031,19.05
Brazil,2007,22199,1761,304031,25.95
Brazil,2007,22199,1761,304031,24.78
Brazil,2007,22199,1761,304031,25.44
Brazil,2008,25497,1761,312637,21.86
Brazil,2008,25497,1761,312637,20.22
Brazil,2008,25497,1761,312637,17.88
Brazil,2008,25497,1761,312637,17.88
Brazil,2008,25497,1761,312637,27.54
Brazil,2008,25497,1761,312637,20.22
Brazil,2008,25497,1761,312637,26.94
Brazil,2008,25497,1761,312637,18.8
Brazil,2008,25497,1761,312637,25.96
Brazil,2008,25497,1761,312637,24.26
Brazil,2008,25497,1761,312637,25.54
Brazil,2009,20802,1761,335742,22.25
Brazil,2009,20802,1761,335742,20.78
Brazil,2009,20802,1761,335742,18.38
Brazil,2009,20802,1761,335742,18.38
Brazil,2009,20802,1761,335742,27.39
Brazil,2009,20802,1761,335742,20.78
Brazil,2009,20802,1761,335742,27.39
Brazil,2009,20802,1761,335742,18.84
Brazil,2009,20802,1761,335742,26.3
Brazil,2009,20802,1761,335742,24.98
Brazil,2009,20802,1761,335742,26
Brazil,2010,28288,1761,342580,22.12
Brazil,2010,28288,1761,342580,20.72
Brazil,2010,28288,1761,342580,18.18
Brazil,2010,28288,1761,342580,18.18
Brazil,2010,28288,1761,342580,28.18
Brazil,2010,28288,1761,342580,20.72
Brazil,2010,28288,1761,342580,27.56
Brazil,2010,28288,1761,342580,19.01
Brazil,2010,28288,1761,342580,26.3
Brazil,2010,28288,1761,342580,24.95
Brazil,2010,28288,1761,342580,25.78
Brazil,2011,26602,1761,345026,21.74
Brazil,2011,26602,1761,345026,20.33
Brazil,2011,26602,1761,345026,18.01
Brazil,2011,26602,1761,345026,18.01
Brazil,2011,26602,1761,345026,27.36
Brazil,2011,26602,1761,345026,20.33
Brazil,2011,26602,1761,345026,27.29
Brazil,2011,26602,1761,345026,18.82
Brazil,2011,26602,1761,345026,25.89
Brazil,2011,26602,1761,345026,24.32
Brazil,2011,26602,1761,345026,25.28
Brazil,2012,23100,1761,346583,22.16
Brazil,2012,23100,1761,346583,21.02
Brazil,2012,23100,1761,346583,18.8
Brazil,2012,23100,1761,346583,18.8
Brazil,2012,23100,1761,346583,28.21
Brazil,2012,23100,1761,346583,21.02
Brazil,2012,23100,1761,346583,27.34
Brazil,2012,23100,1761,346583,19.72
