hotel,week_no,no_of_days,adults,reserved_room_type,daily_rate
Resort Hotel,28,7,2,E,107
Resort Hotel,28,7,2,D,89.68
Resort Hotel,28,7,2,E,155
Resort Hotel,28,8,3,A,112
Resort Hotel,28,9,3,E,130.1
Resort Hotel,28,9,2,E,100.1
Resort Hotel,28,1,2,C,123
Resort Hotel,28,2,3,A,124
Resort Hotel,28,2,2,H,146
Resort Hotel,28,3,2,D,97
Resort Hotel,28,3,2,C,123
Resort Hotel,28,3,2,G,153
Resort Hotel,28,3,2,A,82
Resort Hotel,28,4,2,A,105.08
Resort Hotel,28,4,2,A,65.42
Resort Hotel,28,4,1,A,98
Resort Hotel,28,5,2,A,75.46
Resort Hotel,28,5,2,A,65.5
Resort Hotel,28,7,2,A,90.95
Resort Hotel,28,7,2,A,93.6
Resort Hotel,28,7,2,E,119.25
Resort Hotel,28,7,2,E,134.73
Resort Hotel,28,7,2,A,112
Resort Hotel,28,8,2,A,118.13
Resort Hotel,28,1,2,A,131
Resort Hotel,28,2,2,A,88.2
Resort Hotel,28,2,2,A,73.8
Resort Hotel,28,2,2,A,98
Resort Hotel,28,2,2,A,110.5
Resort Hotel,28,2,2,A,131
Resort Hotel,28,2,2,G,185
Resort Hotel,28,2,2,D,87.3
Resort Hotel,28,2,2,A,73.8
Resort Hotel,28,3,2,C,120
Resort Hotel,28,3,2,A,98
Resort Hotel,28,3,2,E,96.3
Resort Hotel,28,4,2,F,197
Resort Hotel,28,4,2,F,197
Resort Hotel,28,5,2,E,123
Resort Hotel,28,5,2,A,82
Resort Hotel,28,5,2,C,165
Resort Hotel,28,5,2,G,149.4
Resort Hotel,28,7,2,A,106.84
Resort Hotel,28,7,2,D,161
Resort Hotel,28,7,2,D,134.43
Resort Hotel,28,7,2,E,144.43
Resort Hotel,28,7,1,E,152
Resort Hotel,28,7,2,F,125.54
Resort Hotel,28,7,2,C,133.83
Resort Hotel,28,8,3,C,159.75
Resort Hotel,28,9,2,A,120.6
Resort Hotel,28,10,2,D,112.2
Resort Hotel,28,11,2,F,110.6
Resort Hotel,28,13,2,C,105.9
Resort Hotel,28,7,2,D,95.27
Resort Hotel,28,7,2,F,108.83
Resort Hotel,28,5,2,A,153.96
Resort Hotel,28,5,2,A,120.6
Resort Hotel,28,6,2,A,90.67
Resort Hotel,28,6,2,E,126.67
Resort Hotel,28,6,3,D,144.4
Resort Hotel,28,6,2,A,99.5
Resort Hotel,28,7,2,E,139.4
Resort Hotel,28,7,2,A,73.8
Resort Hotel,28,4,2,E,89.97
Resort Hotel,28,4,2,E,123
Resort Hotel,28,4,2,E,123
Resort Hotel,28,1,1,A,123
Resort Hotel,28,1,2,A,144.9
Resort Hotel,28,1,2,G,153
Resort Hotel,28,1,2,A,131
Resort Hotel,28,2,2,A,100
Resort Hotel,28,2,2,A,65.5
Resort Hotel,28,2,2,C,123
Resort Hotel,28,3,2,E,123
Resort Hotel,28,3,2,A,131
Resort Hotel,28,7,2,D,104.68
Resort Hotel,28,7,2,A,166
Resort Hotel,28,8,2,D,111.25
Resort Hotel,28,8,2,G,213.75
Resort Hotel,28,10,2,E,178
Resort Hotel,28,7,2,A,113.9
Resort Hotel,28,7,2,E,129.29
Resort Hotel,29,1,2,G,153
Resort Hotel,29,1,2,A,98
Resort Hotel,29,6,2,A,169
Resort Hotel,29,6,2,A,93
Resort Hotel,29,7,2,A,132.29
Resort Hotel,29,7,2,D,123
Resort Hotel,29,7,2,A,117.22
Resort Hotel,29,7,2,D,149
Resort Hotel,29,7,3,C,164.57
Resort Hotel,29,7,2,A,107
Resort Hotel,29,7,2,A,117.22
Resort Hotel,29,7,2,E,119.25
Resort Hotel,29,7,2,D,123
Resort Hotel,29,7,2,A,105.71
Resort Hotel,29,7,2,D,123
Resort Hotel,29,7,2,E,144.43
Resort Hotel,29,8,2,E,126
Resort Hotel,29,9,2,A,148.3
Resort Hotel,29,9,2,A,125.22
Resort Hotel,29,11,2,D,123
Resort Hotel,29,11,2,A,130
Resort Hotel,29,14,2,D,133.16
Resort Hotel,29,7,2,A,78.84
Resort Hotel,29,1,2,A,80.1
Resort Hotel,29,2,2,G,193
Resort Hotel,29,2,2,A,88.2
Resort Hotel,29,2,2,F,90.71
Resort Hotel,29,2,2,A,114.5
Resort Hotel,29,2,2,A,120.2
Resort Hotel,29,3,2,D,79.5
Resort Hotel,29,3,2,A,117.9
Resort Hotel,29,3,2,A,128
Resort Hotel,29,4,2,A,90.95
Resort Hotel,29,4,2,E,107
Resort Hotel,29,4,2,G,130.05
Resort Hotel,29,5,2,D,123
Resort Hotel,29,5,2,F,103.8
Resort Hotel,29,5,2,H,196
Resort Hotel,29,5,2,D,149.4
Resort Hotel,29,7,2,G,175.71
Resort Hotel,29,7,2,A,119.7
Resort Hotel,29,7,2,A,100.86
Resort Hotel,29,7,2,A,100.86
Resort Hotel,29,2,2,A,82
Resort Hotel,29,2,2,A,73.8
Resort Hotel,29,2,2,A,117.9
Resort Hotel,29,2,2,A,82
Resort Hotel,29,2,4,L,150
Resort Hotel,29,2,2,A,161
Resort Hotel,29,2,2,A,64
Resort Hotel,29,2,2,E,123
Resort Hotel,29,3,2,D,110
Resort Hotel,29,3,2,A,88.2
Resort Hotel,29,3,2,A,130
Resort Hotel,29,3,2,A,88.2
Resort Hotel,29,3,2,E,165
Resort Hotel,29,4,1,A,114
Resort Hotel,29,5,2,D,79.5
Resort Hotel,29,5,2,A,132.8
Resort Hotel,29,5,2,D,120
Resort Hotel,29,5,2,D,79.5
Resort Hotel,29,5,2,D,120
Resort Hotel,29,5,2,D,144.2
Resort Hotel,29,5,2,A,107.2
Resort Hotel,29,5,2,D,120
Resort Hotel,29,5,2,D,120
Resort Hotel,29,5,3,E,163.8
Resort Hotel,29,6,2,A,98.5
Resort Hotel,29,6,2,A,130.5
Resort Hotel,29,6,1,D,153
Resort Hotel,29,6,2,A,98.5
Resort Hotel,29,7,2,A,119.7
Resort Hotel,29,7,2,D,184.6
Resort Hotel,29,7,2,E,181.22
Resort Hotel,29,7,2,A,100.86
Resort Hotel,29,1,2,A,100.2
Resort Hotel,29,4,2,A,134.25
Resort Hotel,29,8,2,A,96.3
Resort Hotel,29,9,2,D,83.09
Resort Hotel,29,1,2,D,105.5
Resort Hotel,29,1,1,A,134
Resort Hotel,29,2,2,D,146
Resort Hotel,29,4,2,E,126
Resort Hotel,29,4,2,A,111.15
Resort Hotel,29,5,2,E,136.2
Resort Hotel,29,5,2,A,101.8
Resort Hotel,29,6,2,A,127
Resort Hotel,29,6,2,E,161.5
Resort Hotel,29,6,2,H,230.67
Resort Hotel,29,7,1,A,65.7
Resort Hotel,29,7,2,A,180
Resort Hotel,29,7,2,A,168.57
Resort Hotel,29,9,2,A,107.67
Resort Hotel,29,9,2,A,96.9
Resort Hotel,29,9,2,A,107
Resort Hotel,29,11,2,A,73.41
Resort Hotel,29,14,2,D,109.9
Resort Hotel,29,14,2,D,109.9
Resort Hotel,29,15,3,H,187.5
Resort Hotel,29,1,1,A,134
Resort Hotel,29,3,2,A,91.5
Resort Hotel,29,3,2,D,132.44
Resort Hotel,29,6,2,D,106.9
Resort Hotel,29,7,2,D,131.86
Resort Hotel,29,8,2,H,216.13
Resort Hotel,29,2,2,A,107
Resort Hotel,29,2,2,A,107
Resort Hotel,29,2,2,A,107
Resort Hotel,29,2,2,A,107
Resort Hotel,29,2,2,A,107
Resort Hotel,29,9,2,G,190.33
Resort Hotel,29,2,2,A,107
Resort Hotel,29,2,1,A,94
Resort Hotel,29,2,2,A,98.75
Resort Hotel,29,2,3,A,148.23
Resort Hotel,29,2,1,A,94
Resort Hotel,29,2,2,A,107
Resort Hotel,29,2,2,A,107
Resort Hotel,29,2,3,A,148.23
Resort Hotel,29,2,2,A,107
Resort Hotel,29,2,2,A,107
Resort Hotel,29,2,2,A,107
Resort Hotel,29,2,2,A,107
Resort Hotel,29,2,2,A,98.75
Resort Hotel,29,2,2,G,195
Resort Hotel,29,2,2,A,120.6
Resort Hotel,29,1,2,F,123.2
Resort Hotel,29,1,1,A,112
Resort Hotel,29,1,2,F,123.2
Resort Hotel,29,1,2,C,169
Resort Hotel,29,2,2,H,198
Resort Hotel,29,2,2,A,103.5
Resort Hotel,29,2,2,A,135.6
Resort Hotel,29,2,2,A,103.5
Resort Hotel,29,3,2,D,184
Resort Hotel,29,3,2,A,134
Resort Hotel,29,3,2,A,147
Resort Hotel,29,3,2,A,151.33
Resort Hotel,29,3,2,A,121.33
Resort Hotel,29,5,2,D,150.2
Resort Hotel,29,5,2,E,139
Resort Hotel,29,5,1,D,150.2
Resort Hotel,29,4,2,A,75.44
Resort Hotel,29,4,2,D,135
Resort Hotel,29,6,2,A,166
Resort Hotel,29,6,2,D,135
Resort Hotel,29,7,2,A,130
Resort Hotel,29,8,2,A,96.3
Resort Hotel,29,14,1,E,160
Resort Hotel,29,2,2,A,127.25
Resort Hotel,29,2,2,E,164
Resort Hotel,29,2,2,D,144.5
Resort Hotel,29,2,2,A,112
Resort Hotel,29,2,2,A,134
Resort Hotel,29,2,2,A,127.25
Resort Hotel,29,2,2,A,155.5
Resort Hotel,29,2,2,A,110.5
Resort Hotel,29,2,2,D,144.5
Resort Hotel,29,2,2,D,144.5
Resort Hotel,29,2,2,D,123
Resort Hotel,29,2,2,A,120.6
Resort Hotel,29,2,1,A,107.6
Resort Hotel,29,3,2,A,120.6
Resort Hotel,29,5,2,A,107
Resort Hotel,29,5,2,A,133.75
Resort Hotel,29,5,2,A,103.5
Resort Hotel,29,5,1,A,84.8
Resort Hotel,29,5,2,A,107
Resort Hotel,29,5,1,A,107
Resort Hotel,29,5,1,A,84.8
Resort Hotel,29,5,2,A,107
Resort Hotel,29,5,3,G,195
Resort Hotel,29,6,2,E,164
Resort Hotel,29,7,2,G,195
Resort Hotel,29,7,2,A,125
Resort Hotel,29,7,2,G,195
Resort Hotel,29,7,2,A,132.3
Resort Hotel,29,7,2,E,145
Resort Hotel,29,7,2,A,92
Resort Hotel,29,7,2,A,132.3
Resort Hotel,29,8,2,A,147
Resort Hotel,29,8,2,D,167
Resort Hotel,29,8,3,H,210
Resort Hotel,29,10,2,F,194.9
Resort Hotel,29,3,2,A,103.5
Resort Hotel,29,3,2,A,118.5
Resort Hotel,29,3,2,E,192
Resort Hotel,29,3,2,D,128.27
Resort Hotel,29,3,2,D,135
Resort Hotel,29,3,2,A,126.3
Resort Hotel,29,3,2,D,154
Resort Hotel,29,3,2,A,96.3
Resort Hotel,29,3,2,A,126.3
Resort Hotel,29,1,2,L,136
Resort Hotel,29,3,2,A,118.5
Resort Hotel,29,3,2,A,116.33
Resort Hotel,29,4,3,A,164
Resort Hotel,29,3,2,D,147.67
Resort Hotel,29,6,2,E,145
Resort Hotel,29,6,2,A,147
Resort Hotel,29,6,2,C,168.3
Resort Hotel,29,7,2,D,167
Resort Hotel,29,7,2,E,137.75
Resort Hotel,29,4,2,E,145
Resort Hotel,29,4,2,A,132.6
Resort Hotel,29,4,2,A,147
Resort Hotel,29,4,2,E,157
Resort Hotel,29,5,2,H,210
Resort Hotel,29,5,2,E,132.5
Resort Hotel,29,5,2,A,98.02
Resort Hotel,29,5,2,C,126
Resort Hotel,29,1,2,D,173
Resort Hotel,29,1,2,C,249
Resort Hotel,29,2,1,G,186.5
Resort Hotel,29,3,1,D,95
Resort Hotel,29,7,2,D,241.5
Resort Hotel,29,7,2,E,177
Resort Hotel,29,7,2,A,153.73
Resort Hotel,29,7,2,A,115
Resort Hotel,29,7,2,D,127.03
Resort Hotel,29,7,2,D,128.25
Resort Hotel,29,7,2,D,128.25
Resort Hotel,29,7,2,A,115
Resort Hotel,29,8,2,A,135
Resort Hotel,29,8,2,D,167
Resort Hotel,29,8,2,A,135
Resort Hotel,29,14,2,A,124.5
Resort Hotel,30,1,2,A,98
Resort Hotel,30,1,2,A,98
Resort Hotel,30,1,2,D,135
Resort Hotel,30,1,2,A,88.2
Resort Hotel,30,1,2,A,120.6
Resort Hotel,30,2,2,E,154.5
Resort Hotel,30,3,2,E,145
Resort Hotel,30,4,2,A,92
Resort Hotel,30,4,2,D,154
Resort Hotel,30,5,2,A,115
Resort Hotel,30,6,1,D,110.53
Resort Hotel,30,7,2,E,158.5
Resort Hotel,30,7,2,C,131.37
Resort Hotel,30,7,2,A,117.71
Resort Hotel,30,7,2,D,123
Resort Hotel,30,7,2,E,158.5
Resort Hotel,30,7,2,A,117.84
Resort Hotel,30,7,2,D,154
Resort Hotel,30,7,2,D,116.85
Resort Hotel,30,6,2,A,129.16
Resort Hotel,30,6,2,G,214
Resort Hotel,30,6,2,A,115
Resort Hotel,30,7,2,D,123
Resort Hotel,30,7,2,D,123
Resort Hotel,30,8,2,G,195
Resort Hotel,30,10,2,C,135.2
Resort Hotel,30,14,2,D,123
Resort Hotel,30,6,2,E,130.5
Resort Hotel,30,1,1,A,123
Resort Hotel,30,3,2,G,179.1
Resort Hotel,30,4,2,A,115
Resort Hotel,30,4,2,A,115
Resort Hotel,30,4,2,A,103.5
Resort Hotel,30,4,2,A,157
Resort Hotel,30,4,2,D,135
Resort Hotel,30,4,2,E,111.65
Resort Hotel,30,4,2,D,135
Resort Hotel,30,5,2,G,195
Resort Hotel,30,5,2,A,104
Resort Hotel,30,5,2,D,135
Resort Hotel,30,6,2,G,214
Resort Hotel,30,6,2,A,133.17
Resort Hotel,30,6,2,D,141.33
Resort Hotel,30,7,2,E,121.01
Resort Hotel,30,7,2,F,240.64
Resort Hotel,30,7,2,C,167.5
Resort Hotel,30,7,2,A,152.43
Resort Hotel,30,7,2,A,148.34
Resort Hotel,30,7,2,D,167
Resort Hotel,30,7,2,A,172.93
Resort Hotel,30,7,2,G,179.1
Resort Hotel,30,7,2,F,192.5
Resort Hotel,30,9,2,A,92
Resort Hotel,30,9,2,D,111.2
Resort Hotel,30,10,2,D,141.6
Resort Hotel,30,10,2,D,141.6
Resort Hotel,30,10,2,D,141.6
Resort Hotel,30,11,2,A,200
Resort Hotel,30,11,2,A,200
Resort Hotel,30,2,2,E,157
Resort Hotel,30,2,1,A,99.5
Resort Hotel,30,3,2,A,115
Resort Hotel,30,4,2,G,195
Resort Hotel,30,4,2,A,103.5
Resort Hotel,30,5,3,G,207
Resort Hotel,30,6,3,A,163.33
Resort Hotel,30,7,2,E,151.86
Resort Hotel,30,7,3,A,95.57
Resort Hotel,30,8,2,A,112.05
Resort Hotel,30,9,2,E,160
Resort Hotel,30,10,2,A,103.18
Resort Hotel,30,1,2,E,153
Resort Hotel,30,4,2,A,119.75
Resort Hotel,30,4,2,D,135
Resort Hotel,30,4,2,D,167.69
Resort Hotel,30,4,2,G,195
Resort Hotel,30,4,2,D,135
Resort Hotel,30,5,2,D,178.4
Resort Hotel,30,1,2,D,154
Resort Hotel,30,1,2,C,134
Resort Hotel,30,1,1,A,112
Resort Hotel,30,3,2,E,194
Resort Hotel,30,3,2,A,153
Resort Hotel,30,3,2,D,135
Resort Hotel,30,3,2,D,184
Resort Hotel,30,4,2,H,210
Resort Hotel,30,4,2,E,139
Resort Hotel,30,5,2,D,101.46
Resort Hotel,30,6,2,E,145
Resort Hotel,30,4,2,D,173
Resort Hotel,30,8,3,D,217.05
Resort Hotel,30,2,2,E,164
Resort Hotel,30,2,2,D,173
Resort Hotel,30,1,2,A,112.5
Resort Hotel,30,2,2,A,153
Resort Hotel,30,2,2,D,173
Resort Hotel,30,2,2,A,153
Resort Hotel,30,2,2,A,134
Resort Hotel,30,2,2,A,153
Resort Hotel,30,2,2,G,233
Resort Hotel,30,2,2,D,154
Resort Hotel,30,2,2,D,173
Resort Hotel,30,2,2,D,135
Resort Hotel,30,2,2,E,132.5
Resort Hotel,30,3,3,H,222.67
Resort Hotel,30,2,2,D,135
Resort Hotel,30,2,2,A,107
Resort Hotel,30,3,2,A,127
Resort Hotel,30,4,2,D,135
Resort Hotel,30,4,2,A,149.7
Resort Hotel,30,4,2,A,161.25
Resort Hotel,30,4,2,A,107
Resort Hotel,30,5,2,A,75.44
Resort Hotel,30,5,2,A,75.44
Resort Hotel,30,7,2,A,115
Resort Hotel,30,7,2,A,159.2
Resort Hotel,30,7,2,A,163.29
Resort Hotel,30,8,2,H,210
Resort Hotel,30,8,2,D,154
Resort Hotel,30,9,2,A,166
Resort Hotel,30,10,2,E,132.5
Resort Hotel,30,10,2,A,107
Resort Hotel,30,14,3,A,121.98
Resort Hotel,30,3,2,A,133
Resort Hotel,30,1,2,A,107
Resort Hotel,30,1,2,A,117.81
Resort Hotel,30,1,2,A,107
Resort Hotel,30,1,2,A,120.6
Resort Hotel,30,2,2,D,147
Resort Hotel,30,2,2,A,153
Resort Hotel,30,2,2,A,153
Resort Hotel,30,2,2,A,134
Resort Hotel,30,2,2,A,153
Resort Hotel,30,3,2,A,118
Resort Hotel,30,4,2,A,134
Resort Hotel,30,5,2,A,135
Resort Hotel,30,5,2,D,158.77
Resort Hotel,30,5,2,A,134
Resort Hotel,30,5,2,A,134
Resort Hotel,30,5,2,C,142.03
Resort Hotel,30,5,2,G,240
Resort Hotel,30,6,2,A,134
Resort Hotel,30,6,2,A,134
Resort Hotel,30,7,2,A,147
Resort Hotel,30,7,2,E,176
Resort Hotel,30,7,2,A,120.6
Resort Hotel,30,7,2,A,166
Resort Hotel,30,7,2,A,134
Resort Hotel,30,7,2,A,147
Resort Hotel,30,7,2,D,167
Resort Hotel,30,7,2,A,107.2
Resort Hotel,30,8,1,A,131.63
Resort Hotel,30,8,3,E,233.05
Resort Hotel,30,8,2,A,90.12
Resort Hotel,30,9,2,A,120.6
Resort Hotel,30,9,1,A,125
Resort Hotel,30,9,2,D,154
Resort Hotel,30,10,2,A,120.6
Resort Hotel,30,12,2,D,114.25
Resort Hotel,30,14,2,A,107
Resort Hotel,30,7,2,A,88.55
Resort Hotel,30,7,2,A,149
Resort Hotel,30,7,3,G,195
Resort Hotel,30,7,2,E,164
Resort Hotel,31,4,2,D,154
Resort Hotel,31,5,2,A,120.6
Resort Hotel,31,3,2,A,103.5
Resort Hotel,31,3,2,A,115
Resort Hotel,31,6,2,A,95.02
Resort Hotel,31,6,2,E,132.5
Resort Hotel,31,5,3,E,209
Resort Hotel,31,6,2,A,95.02
Resort Hotel,31,6,2,E,132.5
Resort Hotel,31,7,2,C,180
Resort Hotel,31,2,2,A,103.18
Resort Hotel,31,7,2,E,174.01
Resort Hotel,31,8,2,A,133
Resort Hotel,31,8,2,A,133
Resort Hotel,31,7,2,A,107.2
Resort Hotel,31,2,2,H,210
Resort Hotel,31,2,2,E,145
Resort Hotel,31,2,2,G,195
Resort Hotel,31,2,1,A,124.2
Resort Hotel,31,2,2,D,167
Resort Hotel,31,3,2,E,145
Resort Hotel,31,3,2,A,166
Resort Hotel,31,3,2,A,115
Resort Hotel,31,3,2,A,166
Resort Hotel,31,4,2,A,120.6
Resort Hotel,31,4,2,F,162
Resort Hotel,31,4,2,A,153
Resort Hotel,31,4,2,A,133.2
Resort Hotel,31,4,2,A,134
Resort Hotel,31,4,2,A,107
Resort Hotel,31,4,2,D,145
Resort Hotel,31,4,2,A,145
Resort Hotel,31,4,2,A,107
Resort Hotel,31,4,2,F,167.2
Resort Hotel,31,4,2,A,134
Resort Hotel,31,4,2,A,130
Resort Hotel,31,4,2,E,164
Resort Hotel,31,4,2,D,149
Resort Hotel,31,5,2,D,154
Resort Hotel,31,5,2,G,195
Resort Hotel,31,5,2,A,134
Resort Hotel,31,5,2,A,107.2
