"type","country","year_added","release_year","rating","title"
"Movie","United States",2016,2016,"TV-PG","#Rucker50"
"Movie","Romania",2019,2014,"TV-MA","#Selfie"
"Movie","Romania",2019,2016,"TV-MA","#Selfie 69"
"TV Show","",2019,2016,"TV-14","แผนร้ายนายเจ้าเล่ห์"
"Movie","Spain",2019,2019,"TV-MA","¡Ay, mi madre!"
"Movie","Turkey",2017,2015,"TV-14","Çarsi Pazar"
"Movie","Iceland",2018,2017,"TV-MA","Ég man þig"
"Movie","Turkey",2017,2010,"TV-MA","Çok Filim Hareketler Bunlar"
"Movie","Nigeria",2020,2020,"TV-MA","Òlòtūré"
"Movie","United States",2018,2005,"PG-13","Æon Flux"
"TV Show","Turkey",2017,2013,"TV-MA","Şubat"
"Movie","United States",2017,2014,"TV-PG","1 Chance 2 Dance"
"Movie","United States",2017,2017,"TV-14","1 Mile to You"
"Movie","South Africa, Nigeria",2019,2017,"TV-14","10 Days in Sun City"
"Movie","France",2017,2012,"TV-14","10 jours en or"
"Movie","United States, South Africa",2019,2008,"PG-13","10,000 B.C."
"TV Show","South Korea",2020,2018,"TV-14","100 Days My Prince"
"Movie","Spain",2018,2018,"TV-MA","100 Days Of Solitude"
"TV Show","United States",2020,2020,"TV-14","100 Humans"
"Movie","Portugal, Spain",2017,2016,"TV-MA","100 Meters"
"Movie","United States",2019,2014,"TV-Y","100 Things to do Before High School"
"Movie","United States",2018,2016,"TV-14","100 Years: One Woman's Fight for Justice"
"Movie","Indonesia",2021,2020,"TV-14","100% Halal"
"TV Show","United Kingdom",2019,2017,"TV-14","100% Hotter"
"Movie","India",2016,2014,"TV-14","1000 Rupee Note"
"Movie","United States",2019,2017,"TV-MA","12 ROUND GUN"
"TV Show","South Korea",2017,2014,"TV-14","12 Years Promise"
"Movie","United States",2016,2015,"NR","13 Cameras"
"TV Show","United States",2020,2020,"TV-MA","13 Reasons Why"
"TV Show","United States",2019,2019,"TV-MA","13 Reasons Why: Beyond the Reasons"
"Movie","United States",2019,2014,"R","13 Sins"
"Movie","United States",2016,2016,"TV-MA","13TH"
"Movie","",2017,2017,"","13TH: A Conversation with Oprah Winfrey & Ava DuVernay"
"Movie","Hong Kong, China, Singapore",2019,2010,"R","14 Blades"
"Movie","United States",2018,2018,"TV-MA","14 Cameras"
"Movie","United States",2019,2016,"TV-MA","14 Minutes from Earth"
"Movie","United States, Germany",2019,2006,"PG-13","16 Blocks"
"Movie","United States",2021,2009,"PG-13","17 Again"
"Movie","Italy",2020,2020,"TV-MA","18 Presents"
"Movie","Spain",2017,2016,"R","1898: Our Last Men in the Philippines"
"Movie","United States",2020,2019,"TV-MA","1BR"
"Movie","United States",2019,2018,"TV-MA","1st Summoning"
"Movie","France",2020,2008,"TV-MA","2 Alone in Paris"
"Movie","India",2018,2014,"TV-PG","2 States"
"Movie","United States",2018,2013,"PG-13","20 Feet From Stardom"
"TV Show","Turkey",2017,2013,"TV-MA","20 Minutes"
"Movie","South Korea",2017,2015,"TV-PG","2015 Dream Concert"
"Movie","United Kingdom",2018,2018,"TV-14","2036 Origin Unknown"
"Movie","United States",2019,2016,"R","20th Century Women"
"Movie","United States",2019,2013,"R","21 & Over"
"TV Show","United Kingdom",2020,2019,"TV-MA","21 Again"
"TV Show","India",2018,2018,"TV-14","21 Sarfarosh: Saragarhi 1897"
"TV Show","Canada",2018,2017,"TV-MA","21 Thunder"
"Movie","United States",2018,2016,"TV-MA","2307: Winter's Dream"
"Movie","South Africa, China, United States",2018,2017,"R","24 Hours to Live"
"Movie","India",2018,2016,"TV-14","25 Kille"
"Movie","South Korea",2017,2012,"TV-MA","26 Years"
"Movie","Argentina",2018,2018,"TV-MA","27, el club de los malditos"
"Movie","United Kingdom",2018,2017,"TV-MA","27: Gone Too Soon"
"Movie","United States",2020,2000,"PG-13","28 Days"
"TV Show","South Korea",2017,2016,"TV-PG","28 Moons"
"Movie","United States, France, Serbia",2020,2014,"PG-13","3 Days to Kill"
"Movie","",2019,2003,"TV-MA","3 Deewarein"
"Movie","United States",2017,2015,"PG-13","3 Generations"
"Movie","Indonesia",2019,2016,"TV-PG","3 Heroines"
"Movie","India",2019,2009,"PG-13","3 Idiots"
"Movie","Canada",2019,2018,"TV-PG","3 Seconds Divorce"
"Movie","Germany",2016,2015,"TV-MA","3 Türken & ein Baby"
"Movie","Egypt",2019,2016,"TV-14","30 Days of Luxury"
"Movie","United States",2021,2011,"R","30 Minutes or Less"
"Movie","Denmark, France, Poland",2019,1989,"TV-14","300 Miles to Heaven"
"Movie","Poland",2020,2020,"TV-MA","365 Days"
"Movie","Japan",2020,2020,"TV-MA","37 Seconds"
"TV Show","United States",2019,2019,"TV-Y7","3Below: Tales of Arcadia"
"Movie","Kenya",2020,2019,"TV-14","40 Sticks"
"Movie","United States",2018,2017,"TV-MA","42 Grams"
"TV Show","Italy",2020,2018,"TV-Y7","44 Cats"
"TV Show","Spain",2019,2019,"TV-MA","45 rpm"
"Movie","Canada",2017,2017,"TV-G","48 Christmas Wishes"
"Movie","Spain",2019,2019,"TV-MA","4L"
"Movie","United States",2016,2015,"NR","4th Man Out"
"Movie","Nigeria",2020,2019,"TV-MA","4th Republic"
"Movie","",2019,2017,"TV-MA","5 Cowok Jagoan"
"Movie","United States",2019,2014,"PG-13","5 Flights Up"
"Movie","Italy",2018,2018,"TV-14","5 Star Christmas"
"Movie","United States",2017,2014,"R","5 to 7"
"Movie","United States",2020,2004,"PG-13","50 First Dates"
"Movie","United States",2019,2011,"R","50/50"
"Movie","Indonesia",2018,2012,"TV-14","5CM"
"Movie","Romania",2020,2019,"TV-14","5Gang"
"Movie","United States",2018,2018,"TV-MA","6 Balloons"
"Movie","New Zealand, United Kingdom",2018,2017,"R","6 Days"
"Movie","United States",2019,2019,"R","6 Underground"
"Movie","United States",2015,2015,"TV-MA","6 Years"
"Movie","India",2017,2014,"TV-MA","6-5=2"
"TV Show","United States",2020,2019,"TV-MA","60 Days In"
"Movie","United States",2019,2017,"R","68 Kill"
"TV Show","India",2019,2019,"TV-14","7 (Seven)"
"Movie","Spain",2016,2016,"TV-MA","7 años"
"TV Show","United States",2018,2018,"TV-PG","7 Days Out"
"Movie","Pakistan",2019,2018,"TV-PG","7 Din Mohabbat In"
"Movie","India",2018,2011,"TV-MA","7 Khoon Maaf"
"TV Show","Australia",2016,2016,"TV-PG","72 Cutest Animals"
"TV Show","Australia",2018,2018,"TV-14","72 Dangerous Animals: Asia"
"TV Show","Australia, United States",2017,2017,"TV-14","72 Dangerous Animals: Latin America"
"TV Show","Australia",2016,2016,"TV-PG","72 Dangerous Places to Live"
"TV Show","",2020,2020,"TV-MA","7SEEDS"
"TV Show","United States",2017,2016,"TV-PG","9 Months That Made You"
"Movie","India",2019,2019,"TV-MA","90 ML"
"Movie","Nigeria",2020,2016,"TV-PG","93 Days"
"Movie","Australia",2017,2011,"PG","A 2nd Chance"
"Movie","Mexico, United States",2019,2019,"TV-PG","A 3 Minute Hug"
"Movie","United States",2020,2020,"TV-PG","A Babysitter's Guide to Monster Hunting"
"Movie","United States, China",2020,2017,"R","A Bad Moms Christmas"
"Movie","China, Hong Kong",2018,2011,"TV-14","A Beautiful Life"
"Movie","India",2018,2016,"TV-14","A Billion Colour Story"
"Movie","United States",2018,2016,"PG","A Boy Called Po"
"TV Show","Taiwan",2017,2017,"TV-MA","A Boy Name Flora A"
"Movie","United States, United Kingdom",2020,1977,"PG","A Bridge Too Far"
"Movie","United States",2020,2020,"PG-13","A California Christmas"
"Movie","United States",2020,2018,"G","A Champion Heart"
"Movie","Turkey",2020,2016,"TV-14","A Chaster Marriage"
"Movie","Taiwan",2020,2020,"TV-14","A Choo"
"Movie","Canada",2020,2018,"TV-G","A Christmas Catch"
"Movie","United States",2017,2017,"TV-PG","A Christmas Prince"
"Movie","United States",2019,2019,"TV-PG","A Christmas Prince: The Royal Baby"
"Movie","United States",2018,2018,"TV-PG","A Christmas Prince: The Royal Wedding"
"Movie","France, South Korea, Japan",2016,2016,"TV-Y7","A Christmas Special: Miraculous: Tales of Ladybug & Cat Noir"
"Movie","United States, Canada",2020,2004,"PG","A Cinderella Story"
"Movie","United States",2019,2019,"PG","A Cinderella Story: Christmas Wish"
"Movie","United Kingdom, United States",2020,1971,"R","A Clockwork Orange"
"Movie","United States",2018,1993,"R","A Dangerous Woman"
"Movie","United States",2019,2014,"TV-Y7","A Fairly Odd Summer"
"Movie","United States",2020,2020,"TV-MA","A Fall from Grace"
"Movie","Netherlands, Denmark, South Africa",2016,2015,"TV-PG","A Family Affair"
"Movie","Canada, United States",2019,2016,"R","A Family Man"
"Movie","United States",2019,2019,"TV-PG","A Family Reunion Christmas"
"Movie","India",2017,2016,"TV-14","A Flying Jatt"
"Movie","Denmark",2019,2018,"TV-MA","A Fortunate Man"
"Movie","United States",2018,2018,"TV-MA","A Futile and Stupid Gesture"
"Movie","United States",2020,2017,"R","A Ghost Story"
"Movie","United States",2018,2012,"R","A Glimpse Inside the Mind of Charles Swan III"
"Movie","United States",2020,2020,"TV-Y","A Go! Go! Cory Carson Christmas"
"Movie","",2020,2020,"TV-Y","A Go! Go! Cory Carson Halloween"
"Movie","",2020,2020,"TV-Y","A Go! Go! Cory Carson Summer Camp"
"TV Show","Taiwan",2017,2013,"TV-14","A Good Wife"
"Movie","United Kingdom",2016,2015,"TV-PG","A Grand Night In: The Story of Aardman"
"Movie","United States",2017,2017,"TV-MA","A Gray State"
"Movie","United States",2020,2013,"R","A Haunted House"
"Movie","United States",2019,2019,"TV-14","A Haunting at Silver Falls: The Return"
"Movie","Germany",2017,2015,"TV-MA","A Heavy Heart"
"Movie","United States",2019,2011,"TV-G","A Holiday Engagement"
"Movie","Hong Kong",2019,2019,"TV-MA","A Home with A View"
"TV Show","Taiwan",2017,2017,"TV-PG","A House of Blocks"
"Movie","United States, China",2020,2019,"TV-MA","A Kid from Coney Island"
"Movie","United States",2017,2016,"R","A Kind of Murder"
"TV Show","South Korea",2019,2017,"TV-MA","A Korean Odyssey"
"Movie","France, Netherlands, Singapore",2019,2019,"TV-MA","A Land Imagined"
"Movie","United States",2018,2018,"TV-MA","A Leaf of Faith"
"Movie","Argentina",2020,2020,"TV-14","A Life of Speed: The Juan Manuel Fangio Story"
"TV Show","United States",2020,2006,"TV-14","A Lion in the House"
"Movie","United Kingdom",2019,2014,"R","A Little Chaos"
"TV Show","United States",2018,2018,"TV-G","A Little Help with Carol Burnett"
"TV Show","China",2019,2019,"TV-G","A Little Thing Called First Love"
"TV Show","South Korea",2020,2020,"TV-PG","A Love So Beautiful"
"Movie","United States",2020,2020,"TV-PG","A Love Song for Latasha"
"Movie","Philippines",2019,2007,"TV-14","A Love Story"
"TV Show","South Korea",2019,2010,"TV-14","A Man Called God"
"Movie","France",2016,2016,"TV-MA","A Mighty Team"
"Movie","",2019,2012,"TV-MA","A Mission in an Old Movie"
"Movie","United Kingdom, Spain, United States",2021,2016,"PG-13","A Monster Calls"
"Movie","United Arab Emirates, United States",2018,2014,"R","A Most Violent Year"
"Movie","United States",2017,2014,"PG-13","A Murder in the Park"
"Movie","Brazil",2018,2017,"TV-14","A new Capitalism"
"Movie","United States",2020,2020,"TV-MA","A New York Christmas Wedding"
"Movie","United States",2019,1998,"PG-13","A Night at the Roxbury"
"Movie","Netherlands",2016,2015,"TV-MA","A Noble Intention"
"Movie","United Kingdom",2017,2015,"TV-MA","A Patch of Fog"
"TV Show","Germany",2020,2020,"TV-14","A Perfect Crime"
"Movie","United States",2019,2012,"TV-MA","A Perfect Ending"
"Movie","United States",2019,2013,"R","A Perfect Man"
"Movie","United Kingdom, Hong Kong",2019,2016,"TV-14","A Plastic Ocean"
"Movie","United States",2020,2011,"TV-PG","A Princess for Christmas"
"TV Show","Brazil",2020,2020,"TV-14","A Queen Is Born"
"Movie","Spain",2019,2019,"TV-MA","A Remarkable Tale"
"Movie","Canada",2013,2011,"NR","A Russell Peters Christmas"
"Movie","India",2017,2016,"TV-MA","A Scandall"
"Movie","Philippines",2019,2015,"TV-MA","A Second Chance"
"Movie","United States",2020,2020,"TV-14","A Secret Love"
"Movie","Iran, France",2019,2011,"PG-13","A Separation"
"TV Show","United States",2019,2019,"TV-PG","A Series of Unfortunate Events"
"Movie","United States, United Kingdom, France",2018,2009,"R","A Serious Man"
"Movie","United Kingdom, France, Belgium, United States, China",2020,2020,"G","A Shaun the Sheep Movie: Farmageddon"
"Movie","Japan",2019,2016,"TV-14","A Silent Voice"
"Movie","United States",2019,2009,"R","A Single Man"
"Movie","Argentina, Brazil, France, Poland, Germany, Denmark",2018,2017,"TV-14","A Sort of Family"
"Movie","United States",2017,2015,"TV-PG","A Sort of Homecoming"
"Movie","United States",2011,1988,"TV-14","A Stoning in Fulham County"
"Movie","United States",2017,2017,"TV-Y","A StoryBots Christmas"
"Movie","Taiwan",2020,2019,"TV-MA","A Sun"
"TV Show","Taiwan",2019,2018,"TV-MA","A Taiwanese Tale of Two Cities"
"Movie","Israel, United States",2019,2015,"PG-13","A Tale of Love and Darkness"
"Movie","United States, Mexico",2019,2019,"TV-PG","A Tale of Two Kitchens"
"Movie","United States",2020,1996,"R","A Thin Line Between Love & Hate"
"TV Show","Taiwan",2019,2019,"TV-14","A Thousand Goodnights"
"Movie","United States",2020,2012,"PG-13","A Thousand Words"
"TV Show","Taiwan",2020,2016,"TV-MA","A Touch of Green"
"Movie","",2020,2020,"TV-Y","A Trash Truck Christmas"
"Movie","Nigeria",2019,2016,"TV-MA","A Trip to Jamaica"
"Movie","India",2020,2020,"TV-Y7","A truthful Mother"
"Movie","Uruguay, Argentina, Spain",2018,2018,"TV-MA","A Twelve Year Night"
"Movie","United States, Canada",2020,2017,"TV-G","A Very Country Christmas"
"Movie","United States",2015,2015,"TV-14","A Very Murray Christmas"
"TV Show","France",2018,2018,"TV-MA","A Very Secret Service"
"Movie","Philippines",2020,2008,"TV-G","A Very Special Love"
"Movie","United States",2020,2002,"PG","A Walk to Remember"
"Movie","India",2018,2008,"TV-MA","A Wednesday"
"Movie","United States",2018,2017,"TV-14","A Week in Watts"
"Movie","Japan",2020,2020,"TV-PG","A Whisker Away"
"Movie","Canada",2018,2017,"PG","A Witches' Ball"
"Movie","United States",2018,2018,"PG","A Wrinkle in Time"
"TV Show","United States",2019,2015,"TV-PG","A Year In Space"
"Movie","Singapore, France",2017,2016,"TV-MA","A Yellow Bird"
"TV Show","United States",2017,2015,"TV-14","A.D. Kingdom and Empire"
"TV Show","Japan",2018,2018,"TV-14","A.I.C.O."
"Movie","Canada",2020,2019,"TV-MA","A.M.I."
"Movie","United States",2019,2018,"PG","A.X.L."
"Movie","Turkey",2018,2011,"TV-MA","Aşk Tesadüfleri Sever"
"Movie","India",2018,2017,"TV-MA","Aadu 2"
"Movie","India",2018,2009,"TV-14","Aagey Se Right"
"Movie","India",2018,2013,"TV-PG","Aajcha Divas Majha"
"Movie","India",2017,1988,"TV-14","Aakhri Adaalat"
"Movie","India",2018,2018,"TV-PG","Aalorukkam"
"Movie","India",2018,2008,"TV-14","Aamir"
"Movie","India",2020,2018,"TV-14","Aapla Manus"
"Movie","India",2019,2011,"TV-14","Aarakshan"
"Movie","India",2017,2010,"TV-14","Aashayein"
"Movie","India",2017,1993,"TV-14","Aashik Awara"
"Movie","India",2018,2010,"TV-14","Aata Pita"
"Movie","India",2019,2019,"TV-14","Aaviri"
"TV Show","United States, Canada",2020,2019,"TV-Y","Abby Hatcher"
"Movie","India",2017,2015,"TV-PG","Abby Sen"
"Movie","India",2018,2015,"TV-14","ABCD 2"
"Movie","India",2018,2013,"TV-14","ABCD: Any Body Can Dance"
"Movie","Egypt",2019,2012,"TV-MA","Abdo Mota"
"Movie","United States",2019,2017,"TV-14","Abducted in Plain Sight"
"Movie","Pakistan",2019,2016,"TV-14","Abdullah, The Final Witness"
"Movie","India",2018,2016,"TV-14","Abhinetri"
"TV Show","South Korea",2017,2017,"TV-PG","Abnormal Summit"
"Movie","United States",2016,2012,"TV-Y7","Abominable Christmas"
"Movie","United Kingdom, United States, France, Germany",2019,2002,"PG-13","About a Boy"
"Movie","United Kingdom",2019,2013,"R","About Time"
"TV Show","United States",2019,2019,"TV-14","Abstract: The Art of Design"
"TV Show","United States",2020,2020,"TV-PG","Absurd Planet"
"TV Show","South Korea",2019,2019,"TV-14","Abyss"
"Movie","Argentina",2016,2015,"TV-MA","Abzurdah"
"Movie","Mexico",2017,2016,"TV-MA","Acapulco La vida va"
"Movie","Hong Kong",2018,2009,"TV-MA","Accident"
"TV Show","China",2018,2018,"TV-14","Accidentally in Love"
"Movie","United States",2016,2013,"TV-PG","Across Grace Alley"
"Movie","Canada",2019,2015,"TV-MA","Across The Line"
"Movie","United States, United Kingdom",2019,2007,"PG-13","Across the Universe"
"Movie","United States",2020,2012,"R","Act of Valor"
"Movie","Turkey, United States",2018,2010,"NR","Act of Vengeance"
"Movie","India",2020,2010,"TV-PG","Action Replayy"
"Movie","Bulgaria, United States",2018,2017,"R","Acts of Vengeance"
"Movie","Canada",2020,2018,"R","Acts of Violence"
"TV Show","France",2019,2018,"TV-MA","Ad Vitam"
"Movie","Spain",2020,2020,"TV-MA","Adú"
"Movie","United States",2019,2019,"TV-MA","Adam Devine: Best Time of Our Lives"
"TV Show","United States",2018,2018,"TV-14","Adam Ruins Everything"
"Movie","United States",2018,2018,"TV-MA","ADAM SANDLER 100% FRESH"
"Movie","United States",2011,1986,"TV-MA","Adam: His Song Continues"
"Movie","France",2020,2014,"TV-14","Addicted to Life"
"Movie","United States",2018,2018,"TV-MA","Adel Karam: Live from Beirut"
"Movie","India",2019,2018,"TV-14","Adhugo"
"Movie","India",2017,2017,"TV-MA","Aditi Mittal: Things They Wouldn't Let Me Say"
"Movie","Australia, France",2019,2013,"R","Adore"
"Movie","Hong Kong, Iceland, United States",2020,2018,"PG-13","Adrift"
"Movie","India",2019,2017,"TV-14","Adrishya"
"Movie","United States",2015,2015,"TV-MA","Advantageous"
"Movie","Canada, United States",2018,2018,"NR","Adventures in Public School"
"Movie","United Arab Emirates",2020,2016,"TV-14","Aerials"
"TV Show","United States",2018,2018,"TV-MA","Afflicted"
"Movie","Brazil",2020,2020,"TV-MA","Afonso Padilha: Classless"
"TV Show","United Kingdom",2016,2013,"TV-PG","Africa"
"TV Show","Brazil",2020,2017,"TV-PG","Afronta! Facing It!"
"Movie","United States",2019,2019,"PG-13","After"
"TV Show","United Kingdom",2020,2020,"TV-MA","After Life"
"Movie","United States",2019,2019,"TV-PG","After Maria"
"Movie","United States",2019,2012,"NR","After Porn Ends"
"Movie","United States",2018,2018,"TV-MA","After Porn Ends 3"
"Movie","United States, Mexico",2019,2019,"TV-PG","After the Raid"
"Movie","United States",2020,2020,"R","After We Collided"
"Movie","United Kingdom, United States",2020,2017,"R","Aftermath"
"Movie","United States",2020,2008,"TV-MA","Afterschool"
"Movie","United States, Chile",2018,2012,"R","Aftershock"
"TV Show","Singapore",2017,2014,"TV-14","Against the Tide"
"Movie","United Kingdom",2019,2018,"TV-MA","Agatha and the Truth of Murder"
"TV Show","United Kingdom",2019,2017,"TV-MA","Age Gap Love"
"TV Show","",2017,2010,"TV-MA","Age of Glory"
"TV Show","Taiwan",2018,2018,"TV-MA","Age of Rebellion"
"TV Show","Germany, France, Russia",2018,2017,"TV-PG","Age of Tanks"
"TV Show","Mauritius, South Africa",2019,2019,"TV-MA","Agent"
"TV Show","India",2017,2015,"TV-14","Agent Raghav"
"TV Show","Japan",2020,2020,"TV-14","Aggretsuko"
"Movie","Japan",2018,2018,"TV-PG","Aggretsuko: We Wish You a Metal Christmas"
"Movie","India",2020,1990,"TV-14","Agneepath"
"Movie","Argentina",2018,2018,"TV-MA","Agustín Aristarán: Soy Rada"
"Movie","India",2018,2009,"TV-14","Agyaat"
"Movie","India",2019,2006,"TV-14","Ahista Ahista"
"Movie","United States",2018,2012,"R","Ai Weiwei: Never Sorry"
"TV Show","Japan",2020,2019,"TV-14","Ainori Love Wagon: African Journey"
"TV Show","Japan",2019,2018,"TV-MA","Ainori Love Wagon: Asian Journey"
"TV Show","United Kingdom",2019,2014,"TV-PG","Ainsley Eats the Streets"
"Movie","United States, Japan",2020,2020,"TV-PG","Ainu Mosir"
"Movie","United States",2020,2020,"TV-PG","Airplane Mode"
"Movie","India",2017,2015,"TV-14","Aisa Yeh Jahaan"
"Movie","India",2018,2004,"TV-14","Aitraaz"
"Movie","India",2018,2018,"TV-MA","Aiyaary"
"Movie","India",2020,2012,"TV-14","Aiyyaa"
"TV Show","United States",2020,2020,"TV-14","AJ and the Queen"
"Movie","India",2020,2009,"TV-14","Ajab Prem Ki Ghazab Kahani"
"TV Show","",2017,2015,"TV-PG","Ajaibnya Cinta"
"TV Show","Japan",2016,2016,"TV-MA","AJIN: Demi-Human"
"Movie","India",2018,2017,"TV-MA","Ajji"
"Movie","India",2020,2020,"TV-MA","AK vs AK"
"TV Show","Japan",2020,2014,"TV-14","Akame ga Kill!"
"TV Show","India",2020,2019,"TV-G","Akbar Birbal"
"TV Show","",2017,2015,"TV-14","Akulah Balqis"
"Movie","",2021,2019,"TV-MA","Al acecho"
"TV Show","Lebanon",2018,2017,"TV-14","Al Hayba"
"Movie","India",2020,2020,"TV-14","Ala Vaikunthapurramuloo"
"Movie","",2020,2017,"TV-MA","Alakada Reloaded"
"Movie","Mexico",2017,2017,"TV-MA","Alan Saldaña: Mi vida de pobre"
"Movie","Egypt",2019,2017,"TV-MA","Alarmoty in the Land of Fire"
"Movie","United States",2020,2017,"TV-MA","Alaska Is a Drag"
"Movie","India",2019,2019,"TV-MA","Albert Pinto Ko Gussa Kyun Aata Hai?"
"Movie","United States, Bulgaria",2017,2016,"TV-PG","Albion: The Enchanted Stallion"
"Movie","Colombia",2018,2018,"TV-MA","Alejandro Riaño: Especial de stand up"
"Movie","Spain",2018,2018,"TV-MA","Alejandro Sanz: What I Was Is What I Am"
"Movie","Uruguay, Argentina",2020,2019,"TV-MA","Alelí"
"Movie","Mexico",2020,2020,"TV-MA","Alex Fernández: The Best Comedian in the World"
"Movie","United States",2018,2018,"TV-MA","Alex Strangelove"
"TV Show","United States",2020,2020,"TV-G","Alexa & Katie"
"Movie","Egypt, Algeria",2020,1979,"TV-MA","Alexandria ... Why?"
"Movie","France, Egypt",2020,1989,"TV-MA","Alexandria: Again and Forever"
"Movie","Uruguay",2019,2019,"TV-MA","Alexis Viera: A Story of Surviving"
"Movie","United Arab Emirates",2020,2019,"TV-14","Ali & Alia"
"Movie","Turkey",2020,2015,"TV-MA","Ali Baba ve 7 Cüceler"
"Movie","United States",2016,2016,"TV-MA","Ali Wong: Baby Cobra"
"Movie","United States",2018,2018,"TV-MA","Ali Wong: Hard Knock Wife"
"Movie","Australia",2018,2018,"TV-MA","Ali's Wedding"
"TV Show","Canada",2017,2017,"TV-MA","Alias Grace"
"Movie","",2017,2017,"TV-MA","Alias JJ, la celebridad del mal"
"Movie","Soviet Union, India",2018,1980,"TV-14","Alibaba Aur 40 Chor"
"Movie","United States",2019,1974,"PG","Alice Doesn't Live Here Anymore"
"TV Show","Japan",2020,2020,"TV-MA","Alice in Borderland"
"Movie","Brazil",2020,2019,"TV-MA","Alice Junior"
"Movie","United States",2018,2017,"TV-PG","Alien Contact: Outer Space"
"TV Show","",2020,2020,"TV-Y7","Alien TV"
"Movie","United States",2019,2019,"TV-MA","Alien Warfare"
"TV Show","United Kingdom",2020,2020,"TV-PG","Alien Worlds"
"Movie","United States",2020,2020,"TV-Y","Alien Xmas"
"Movie","United States",2018,2018,"PG","Aliens Ate My Homework"
"Movie","Sweden, United States",2017,2016,"TV-14","Alive and Kicking"
"Movie","South Africa",2020,2017,"TV-MA","All About Love"
"Movie","United States",2019,2018,"R","All About Nina"
"TV Show","United States",2018,2018,"TV-PG","All About the Washingtons"
"TV Show","United States",2020,2019,"TV-14","All American"
"Movie","Malaysia",2020,2020,"TV-PG","All Because of You"
"Movie","United States",2020,2020,"R","All Day and a Night"
"Movie","Ireland, United Kingdom, United States",2020,1989,"G","All Dogs Go to Heaven"
"TV Show","Colombia",2020,2020,"TV-MA","All For Love"
"Movie","Spain, Italy",2019,2019,"TV-MA","All Good Ones Get Away"
"TV Show","United States",2017,2017,"TV-Y7","All Hail King Julien"
"TV Show","",2017,2017,"TV-Y7","All Hail King Julien: Exiled"
"Movie","United States",2017,2016,"TV-G","All Hallows' Eve"
"Movie","United States",2019,2019,"TV-14","All In My Family"
"Movie","United States",2019,2018,"TV-MA","All Light Will End"
"Movie","Philippines",2019,2017,"TV-MA","All of You"
"Movie","United States",2018,2006,"R","All the Boys Love Mandy Lane"
"Movie","United States",2020,2020,"TV-MA","All The Bright Places"
"Movie","United Kingdom",2019,2018,"R","All the Devil's Men"
"Movie","Mexico",2020,2020,"TV-14","All the Freckles in the World"
"Movie","Brazil",2018,2017,"TV-MA","All The Reasons To Forget"
"Movie","United States",2020,2020,"PG","All Together Now"
"Movie","Hong Kong",2018,2009,"TV-14","All's Well, End's Well (2009)"
"Movie","Germany",2019,2019,"TV-MA","Alles ist gut"
"Movie","United States",2020,2017,"R","AllI Wish"
"TV Show","Argentina",2020,2020,"TV-MA","Almost Happy"
"Movie","United States",2020,2020,"TV-MA","Almost Love"
"TV Show","",2020,2019,"TV-14","Alone"
"Movie","United Kingdom, France, Germany",2019,2016,"R","Alone in Berlin"
"Movie","Philippines",2020,2019,"TV-14","Alone/Together"
"Movie","United States, Germany, Canada",2019,2001,"R","Along Came a Spider"
"Movie","United States",2019,2013,"TV-G","Alpha and Omega 2: A Howl-iday Adventure"
"Movie","United States, India",2020,2014,"TV-Y7","Alpha and Omega: The Legend of the Saw Tooth Cave"
