creditlimit,sex,education,marriage,age,default
260000,male,graduate school,single,36,0
80000,male,other,single,27,0
180000,female,graduate school,single,29,0
280000,male,graduate school,married,42,0
180000,female,graduate school,single,40,0
140000,female,graduate school,married,39,0
30000,male,other,single,23,0
430000,female,graduate school,married,33,0
80000,male,graduate school,single,25,0
220000,female,high school,single,34,0
200000,female,graduate school,single,41,0
200000,male,university,married,39,0
230000,male,high school,married,38,0
230000,female,university,single,37,0
240000,female,university,single,27,0
80000,female,university,married,43,0
320000,female,university,married,36,0
200000,female,high school,married,41,0
150000,female,graduate school,married,38,0
500000,female,graduate school,single,35,0
150000,female,graduate school,married,35,0
250000,male,graduate school,married,31,0
360000,female,graduate school,single,28,0
360000,male,graduate school,single,29,0
270000,female,university,single,31,0
250000,female,graduate school,married,44,0
250000,male,graduate school,single,48,0
360000,female,university,married,42,0
50000,male,university,married,43,0
200000,female,university,married,37,0
130000,male,university,married,43,0
420000,female,graduate school,married,40,0
230000,male,graduate school,single,32,0
280000,female,graduate school,single,28,0
30000,female,high school,married,25,0
120000,female,university,married,40,0
270000,female,graduate school,single,33,0
390000,female,graduate school,single,26,0
320000,female,graduate school,married,34,0
500000,female,university,married,51,0
230000,female,university,married,46,0
180000,male,university,single,24,0
290000,male,high school,married,41,0
180000,female,university,married,49,0
150000,male,graduate school,married,57,0
260000,female,graduate school,single,33,0
260000,female,graduate school,single,32,0
50000,male,university,single,28,0
250000,male,graduate school,married,37,0
280000,male,graduate school,single,33,0
180000,female,graduate school,single,27,0
360000,male,graduate school,married,59,0
50000,male,high school,single,54,0
200000,female,high school,single,37,0
260000,female,graduate school,single,29,0
210000,female,graduate school,single,35,0
240000,male,university,married,44,0
90000,female,graduate school,married,37,0
30000,male,high school,single,25,0
160000,male,other,single,26,0
200000,female,graduate school,single,25,0
150000,female,university,married,36,0
140000,female,graduate school,single,31,0
350000,female,university,married,32,0
330000,male,graduate school,single,32,0
750000,female,high school,married,40,0
160000,female,university,married,40,0
500000,female,graduate school,single,47,0
250000,male,graduate school,single,30,0
240000,female,graduate school,married,34,0
500000,male,graduate school,married,51,0
20000,female,high school,married,30,0
80000,male,university,single,36,0
360000,female,university,single,43,0
270000,female,graduate school,married,57,0
450000,female,university,married,33,0
170000,female,graduate school,single,27,0
490000,male,university,single,34,0
340000,female,university,married,46,0
50000,male,university,single,23,0
360000,female,graduate school,married,32,0
270000,female,graduate school,single,31,0
20000,male,graduate school,single,24,0
210000,female,graduate school,single,31,0
260000,female,university,single,29,0
500000,female,graduate school,single,40,0
90000,female,high school,other,24,0
280000,female,graduate school,single,31,0
280000,female,graduate school,married,49,0
230000,female,graduate school,single,26,0
170000,male,university,married,37,0
200000,male,graduate school,single,30,0
80000,female,high school,married,53,0
350000,female,high school,married,49,0
80000,female,university,married,41,0
290000,female,university,married,36,0
280000,female,university,single,28,0
360000,female,graduate school,married,48,0
240000,female,graduate school,married,33,0
500000,male,graduate school,single,38,0
50000,male,high school,married,58,0
200000,male,graduate school,married,40,0
500000,female,university,single,31,0
30000,female,high school,married,45,0
500000,female,university,married,30,0
240000,female,university,married,34,0
300000,female,graduate school,single,27,0
420000,female,graduate school,single,29,0
500000,female,graduate school,married,33,0
320000,female,graduate school,single,32,0
170000,male,university,single,41,0
200000,female,graduate school,married,40,0
360000,female,graduate school,single,28,0
260000,female,university,married,43,0
230000,male,graduate school,married,40,0
230000,female,graduate school,single,23,0
300000,male,graduate school,married,54,0
360000,female,university,married,42,0
180000,female,high school,married,43,0
350000,female,graduate school,single,33,0
100000,female,high school,single,29,0
390000,female,graduate school,married,39,0
200000,male,graduate school,single,30,0
290000,male,graduate school,single,35,0
500000,male,graduate school,married,34,0
300000,female,graduate school,single,32,0
150000,female,other,married,25,0
150000,female,university,married,38,0
100000,female,high school,single,48,0
150000,male,university,single,26,0
230000,female,high school,married,58,0
250000,female,graduate school,single,26,0
150000,female,university,married,27,0
180000,female,graduate school,single,29,0
500000,female,university,single,33,0
80000,female,high school,married,39,0
460000,female,graduate school,married,43,0
340000,female,university,married,40,0
50000,female,high school,married,52,0
180000,male,graduate school,single,31,0
200000,male,university,single,37,0
410000,male,university,married,36,0
210000,male,graduate school,married,39,0
380000,female,university,married,30,0
80000,male,graduate school,single,28,0
280000,female,university,single,35,0
280000,male,graduate school,married,49,0
200000,female,graduate school,single,48,0
470000,male,university,single,34,0
160000,female,other,married,42,0
250000,male,high school,married,51,0
330000,female,university,single,30,0
300000,male,university,married,40,0
20000,female,graduate school,single,22,0
200000,female,university,married,44,0
300000,male,graduate school,single,29,0
140000,female,graduate school,single,33,0
50000,female,graduate school,single,23,0
150000,female,graduate school,single,31,0
150000,female,university,other,26,0
80000,female,graduate school,single,25,0
320000,female,graduate school,single,31,0
280000,female,graduate school,single,27,0
110000,female,high school,married,53,0
500000,female,graduate school,single,30,0
200000,female,university,single,25,0
90000,female,university,married,24,0
240000,male,graduate school,married,47,0
200000,male,university,married,47,0
360000,female,high school,married,47,0
100000,female,graduate school,single,25,0
350000,female,university,married,35,0
320000,female,graduate school,single,33,0
150000,female,high school,married,58,0
150000,female,graduate school,single,34,0
500000,male,graduate school,single,28,0
240000,male,graduate school,married,35,0
100000,female,university,married,41,0
360000,male,graduate school,single,32,0
30000,female,high school,married,47,0
240000,female,graduate school,single,27,0
450000,female,university,married,53,0
230000,female,graduate school,single,31,0
170000,male,high school,married,47,0
230000,male,graduate school,single,28,0
360000,male,graduate school,single,29,0
240000,female,high school,married,37,0
430000,female,university,single,27,0
200000,male,graduate school,single,33,0
120000,female,university,married,43,0
230000,male,university,single,29,0
90000,female,university,single,23,0
70000,female,university,single,24,0
150000,male,graduate school,married,49,0
440000,female,graduate school,married,33,0
200000,female,graduate school,single,32,0
450000,female,university,married,38,0
170000,female,graduate school,single,53,0
150000,female,graduate school,single,41,0
210000,female,graduate school,married,43,0
230000,female,graduate school,single,33,0
360000,female,graduate school,married,27,0
150000,female,other,married,36,0
150000,male,university,married,45,0
180000,female,university,single,35,0
200000,female,university,single,32,0
150000,male,graduate school,single,37,0
180000,male,graduate school,single,28,0
280000,male,graduate school,married,63,0
60000,female,university,single,48,0
200000,male,graduate school,married,38,0
400000,female,university,married,42,0
500000,male,graduate school,married,45,0
420000,male,graduate school,married,47,0
300000,female,university,single,48,0
260000,female,graduate school,married,38,0
150000,male,graduate school,single,29,0
50000,female,university,married,29,0
190000,male,high school,married,29,0
280000,female,graduate school,single,39,0
230000,female,university,single,29,0
80000,female,graduate school,married,29,0
80000,female,high school,married,42,0
260000,male,university,married,35,0
300000,female,graduate school,married,38,0
380000,male,graduate school,married,53,0
280000,male,graduate school,single,33,0
400000,female,graduate school,married,37,0
220000,female,university,married,32,0
50000,female,graduate school,single,24,0
230000,female,university,married,36,0
300000,female,graduate school,single,38,0
360000,female,graduate school,single,29,0
240000,male,university,single,30,0
200000,female,graduate school,married,38,0
160000,female,high school,married,38,0
180000,female,university,single,29,0
10000,male,university,married,62,0
20000,female,university,single,25,0
260000,female,graduate school,single,32,0
240000,male,graduate school,married,43,0
300000,female,graduate school,single,33,0
640000,female,graduate school,married,50,0
320000,female,graduate school,married,41,0
230000,female,high school,married,32,0
420000,female,graduate school,single,36,0
180000,male,high school,single,29,0
200000,female,university,married,41,0
410000,female,university,married,29,0
170000,female,graduate school,single,27,0
180000,female,graduate school,single,33,0
310000,male,graduate school,married,43,0
310000,male,university,single,27,0
120000,male,graduate school,single,29,0
140000,female,university,single,24,0
30000,female,university,single,21,0
290000,male,university,married,37,0
300000,female,university,single,27,0
150000,female,graduate school,single,35,0
320000,female,graduate school,single,32,0
90000,female,high school,married,68,0
150000,female,high school,married,55,0
160000,male,university,married,62,0
290000,female,graduate school,single,32,0
360000,female,graduate school,married,34,0
180000,female,graduate school,married,36,0
180000,female,graduate school,single,25,0
210000,male,university,single,28,0
360000,female,high school,single,42,0
340000,female,university,single,39,0
150000,female,university,married,38,0
100000,female,university,married,27,0
390000,female,graduate school,married,34,0
330000,female,graduate school,married,40,0
360000,female,graduate school,married,27,0
500000,male,university,married,34,0
340000,female,high school,married,49,0
80000,female,university,married,31,0
80000,male,university,married,23,0
50000,female,university,single,34,0
200000,female,graduate school,married,34,0
210000,female,university,married,30,0
160000,female,university,married,31,0
350000,female,graduate school,single,32,0
500000,male,university,single,44,0
310000,female,university,married,42,0
150000,female,graduate school,single,30,0
80000,female,high school,single,53,0
360000,female,graduate school,married,35,0
350000,female,graduate school,single,48,0
490000,female,graduate school,single,29,0
340000,female,university,single,38,0
230000,female,graduate school,single,36,0
310000,male,graduate school,single,36,0
270000,female,university,married,32,0
350000,female,graduate school,single,41,0
80000,female,high school,single,34,0
330000,female,university,married,37,0
260000,female,graduate school,single,34,0
230000,male,graduate school,single,32,0
200000,male,high school,single,36,0
80000,female,university,single,33,0
440000,female,university,single,34,0
80000,female,university,single,25,0
200000,male,graduate school,single,28,0
120000,female,graduate school,single,27,0
20000,male,graduate school,single,25,0
400000,male,graduate school,married,54,0
220000,male,university,single,30,0
150000,female,university,single,26,0
100000,female,university,married,33,0
210000,female,university,married,48,0
20000,male,university,married,31,0
200000,male,graduate school,single,27,0
220000,female,graduate school,single,29,0
140000,female,graduate school,married,48,0
170000,female,graduate school,single,29,0
310000,female,university,married,48,0
200000,female,high school,single,33,0
250000,female,university,married,29,0
330000,female,graduate school,single,28,0
200000,female,university,single,27,0
180000,female,graduate school,single,43,0
140000,female,university,single,28,0
260000,female,graduate school,married,40,0
130000,female,university,single,24,0
100000,male,university,single,27,0
220000,male,university,married,47,0
50000,female,university,married,24,0
550000,female,other,single,52,0
500000,female,graduate school,married,34,0
420000,female,university,married,40,0
390000,female,university,married,41,0
310000,female,university,single,51,0
140000,male,graduate school,single,27,0
360000,female,graduate school,married,50,0
250000,female,graduate school,single,35,0
330000,male,university,married,65,0
250000,female,graduate school,married,37,0
130000,female,university,single,25,0
90000,female,university,married,49,0
310000,female,university,married,37,0
300000,female,university,married,33,0
300000,female,university,married,30,0
120000,female,university,single,37,0
40000,female,high school,married,39,0
200000,female,graduate school,single,34,0
80000,male,university,single,34,0
100000,female,graduate school,single,31,0
200000,female,graduate school,single,36,0
80000,male,graduate school,single,25,0
160000,female,university,married,31,0
180000,female,university,married,28,0
480000,male,graduate school,married,58,0
500000,female,graduate school,married,38,0
320000,female,university,married,55,0
170000,female,university,married,47,0
170000,male,graduate school,married,38,0
470000,female,graduate school,single,31,0
180000,female,graduate school,single,29,0
220000,male,graduate school,married,43,0
320000,female,graduate school,single,30,0
200000,female,university,single,26,0
150000,male,high school,married,58,0
270000,female,university,married,47,0
320000,female,graduate school,single,34,0
450000,male,graduate school,married,34,0
500000,male,graduate school,single,38,0
100000,female,high school,married,28,0
50000,female,high school,married,30,0
400000,female,graduate school,single,33,0
270000,female,university,single,38,0
160000,female,graduate school,single,42,0
210000,female,graduate school,single,38,0
290000,male,graduate school,single,44,0
360000,female,graduate school,married,36,0
230000,female,high school,single,39,0
150000,female,university,single,23,0
180000,female,university,married,43,0
140000,female,graduate school,married,31,0
200000,male,graduate school,single,33,0
10000,female,university,single,44,0
310000,male,university,married,42,0
150000,female,high school,single,34,0
270000,female,university,married,36,0
50000,male,graduate school,single,25,0
100000,female,university,married,39,0
160000,male,graduate school,married,41,0
130000,female,university,single,25,0
360000,female,graduate school,single,26,0
190000,male,university,single,28,0
150000,female,graduate school,married,48,0
240000,female,graduate school,single,35,0
430000,female,university,married,32,0
150000,female,other,single,27,0
80000,female,graduate school,married,32,0
200000,male,graduate school,married,40,0
360000,female,graduate school,single,42,0
180000,female,university,married,26,0
280000,male,university,single,26,0
30000,female,graduate school,single,27,0
270000,male,university,single,31,0
200000,female,high school,single,46,0
180000,female,high school,single,40,0
350000,male,graduate school,married,30,0
280000,male,graduate school,single,41,0
200000,female,graduate school,married,58,0
170000,female,graduate school,married,51,0
170000,female,graduate school,married,44,0
290000,female,graduate school,married,45,0
340000,female,university,single,52,0
290000,female,university,married,48,0
200000,male,university,single,32,0
330000,male,graduate school,married,37,0
500000,female,graduate school,single,44,0
150000,female,graduate school,single,28,0
200000,male,graduate school,single,30,0
360000,female,graduate school,single,30,0
410000,female,graduate school,married,46,0
500000,male,high school,married,55,0
50000,female,high school,single,50,0
400000,male,graduate school,single,28,0
310000,male,graduate school,married,47,0
390000,female,graduate school,single,29,0
280000,male,graduate school,married,38,0
130000,female,graduate school,single,28,0
500000,male,university,single,32,0
360000,female,university,single,27,0
20000,male,university,single,25,0
50000,female,graduate school,single,24,0
130000,female,graduate school,single,29,0
360000,female,graduate school,single,33,0
20000,male,high school,single,22,0
400000,male,graduate school,single,42,0
160000,male,university,single,28,0
440000,female,university,married,28,0
490000,male,graduate school,single,35,0
30000,female,graduate school,single,25,0
400000,female,graduate school,married,32,0
90000,female,university,married,43,0
400000,female,graduate school,married,35,0
280000,female,high school,married,51,0
120000,female,university,single,29,0
100000,female,university,married,45,0
350000,female,graduate school,married,31,0
200000,male,graduate school,single,26,0
30000,female,graduate school,married,44,0
200000,female,high school,married,48,0
150000,female,graduate school,married,40,0
210000,female,graduate school,single,35,0
270000,male,university,married,49,0
200000,female,graduate school,married,33,0
80000,male,other,married,25,0
310000,male,graduate school,single,37,0
160000,female,high school,married,49,0
110000,female,graduate school,single,25,0
20000,male,university,married,45,0
380000,male,university,married,39,0
50000,male,high school,married,41,0
240000,male,graduate school,married,46,0
360000,male,graduate school,single,35,0
50000,male,high school,single,29,0
510000,male,high school,single,30,0
360000,male,university,single,38,0
280000,female,high school,single,46,0
290000,female,university,married,37,0
630000,male,graduate school,single,32,0
360000,female,university,married,37,0
400000,female,graduate school,married,32,0
150000,female,graduate school,married,36,0
210000,male,university,married,46,0
200000,female,high school,single,54,0
250000,male,graduate school,single,56,0
30000,female,high school,married,41,0
180000,female,graduate school,single,42,0
110000,female,university,married,46,0
360000,male,graduate school,married,40,0
150000,female,university,married,34,0
110000,male,university,married,42,0
220000,female,graduate school,single,27,0
400000,female,graduate school,married,38,0
210000,female,university,married,37,0
50000,female,graduate school,single,29,0
50000,female,university,married,36,0
220000,female,graduate school,single,32,0
250000,female,graduate school,single,35,0
320000,male,graduate school,married,46,0
210000,female,graduate school,married,44,0
80000,female,university,single,37,0
260000,female,graduate school,married,40,0
50000,male,university,single,29,0
310000,female,graduate school,single,32,0
230000,female,graduate school,married,43,0
100000,female,high school,married,39,0
170000,male,high school,married,40,0
280000,female,graduate school,married,63,0
410000,female,high school,single,31,0
310000,female,university,single,44,0
200000,female,university,married,41,0
160000,male,graduate school,single,42,0
500000,female,university,single,36,0
200000,male,graduate school,single,28,0
200000,female,graduate school,single,29,0
200000,male,graduate school,single,28,0
180000,female,university,single,35,0
220000,female,university,married,33,0
220000,male,graduate school,married,32,0
500000,female,university,married,32,0
60000,female,graduate school,single,30,0
310000,female,graduate school,single,28,0
180000,female,high school,single,29,0
180000,female,high school,married,43,0
260000,female,high school,married,51,0
140000,male,graduate school,single,35,0
200000,male,university,married,41,0
70000,female,university,single,23,0
260000,male,high school,married,53,0
200000,female,university,single,26,0
90000,female,university,married,49,0
420000,female,graduate school,single,33,0
200000,male,graduate school,single,29,0
360000,male,graduate school,single,29,0
170000,female,university,married,33,0
500000,male,graduate school,married,64,0
220000,female,high school,married,50,0
500000,female,graduate school,married,40,0
100000,female,university,married,49,0
500000,male,graduate school,single,49,0
300000,female,graduate school,single,29,0
50000,male,high school,single,26,0
260000,female,university,married,46,0
50000,female,university,married,38,0
30000,male,university,single,25,0
290000,female,graduate school,married,39,0
410000,male,graduate school,single,33,0
280000,female,university,single,29,0
360000,female,graduate school,single,31,0
290000,male,graduate school,married,47,0
150000,male,other,single,31,0
50000,female,high school,single,23,0
360000,male,university,married,26,0
400000,male,graduate school,married,35,0
360000,male,graduate school,married,40,0
20000,female,university,single,23,0
400000,female,graduate school,single,27,0
500000,male,graduate school,single,54,0
360000,female,university,single,30,0
200000,female,graduate school,single,30,0
50000,male,university,married,42,0
80000,female,university,single,29,0
240000,female,university,married,39,0
240000,female,graduate school,married,38,0
220000,male,graduate school,single,31,0
210000,female,graduate school,single,39,0
200000,female,high school,married,34,0
80000,male,graduate school,single,36,0
320000,male,graduate school,single,33,0
180000,female,university,married,41,0
150000,male,high school,single,31,0
140000,male,graduate school,single,29,0
150000,female,university,single,24,0
480000,female,high school,married,42,0
500000,female,graduate school,single,43,0
500000,female,graduate school,single,32,0
330000,male,graduate school,single,37,0
500000,female,graduate school,married,47,0
270000,female,graduate school,married,36,0
80000,female,university,single,24,0
150000,female,university,married,44,0
300000,female,graduate school,single,27,0
260000,female,graduate school,married,28,0
290000,male,other,married,38,0
460000,female,high school,married,57,0
260000,male,graduate school,single,30,0
450000,male,graduate school,other,37,0
260000,female,university,married,40,0
60000,female,graduate school,single,25,0
290000,female,university,single,29,0
300000,female,graduate school,married,47,0
20000,male,university,single,25,0
600000,female,university,married,46,0
180000,male,graduate school,single,31,0
240000,female,graduate school,single,30,0
50000,female,graduate school,married,34,0
200000,male,graduate school,single,38,0
480000,male,university,married,44,0
120000,male,university,single,34,0
180000,female,university,married,42,0
130000,female,graduate school,single,26,0
130000,female,graduate school,single,27,0
280000,female,graduate school,single,31,0
180000,female,high school,married,31,0
180000,female,university,single,35,0
20000,male,university,single,24,0
220000,male,graduate school,single,31,0
160000,male,graduate school,married,47,0
260000,female,university,single,29,0
230000,female,university,married,38,0
230000,female,university,married,36,0
20000,male,university,married,53,0
150000,female,university,single,25,0
320000,male,university,married,42,0
220000,male,graduate school,married,33,0
610000,female,graduate school,single,36,0
320000,male,graduate school,married,45,0
30000,male,university,married,26,0
50000,female,graduate school,single,24,0
30000,female,university,married,30,0
290000,male,graduate school,single,41,0
200000,male,university,single,30,0
150000,female,graduate school,married,30,0
420000,female,high school,married,36,0
300000,female,graduate school,single,44,0
240000,male,university,single,46,0
80000,female,university,married,42,0
180000,female,university,other,52,0
290000,male,university,married,48,0
490000,male,graduate school,married,54,0
290000,male,graduate school,married,38,0
50000,male,university,married,50,0
200000,female,graduate school,single,39,0
230000,female,university,married,32,0
330000,male,graduate school,single,36,0
200000,female,graduate school,single,47,0
240000,female,university,single,37,0
90000,male,high school,other,34,0
280000,female,university,single,33,0
490000,male,graduate school,single,36,0
450000,male,graduate school,married,44,0
20000,female,high school,married,44,0
80000,male,graduate school,single,27,0
290000,male,university,married,44,0
280000,male,graduate school,married,36,0
80000,female,university,married,37,0
90000,female,university,single,40,0
30000,female,university,single,22,0
130000,female,university,single,23,0
350000,female,high school,married,38,0
150000,female,graduate school,single,29,0
140000,female,university,married,51,0
280000,female,university,married,48,0
360000,female,graduate school,single,56,0
330000,male,graduate school,married,61,0
300000,male,graduate school,single,27,0
230000,female,high school,single,30,0
470000,female,graduate school,single,30,0
230000,female,graduate school,married,31,0
200000,female,graduate school,single,44,0
80000,female,high school,other,37,0
50000,male,university,married,28,0
180000,female,graduate school,single,32,0
360000,male,high school,married,46,0
20000,female,high school,other,41,0
410000,male,university,married,45,0
180000,female,university,married,46,0
150000,male,university,married,30,0
280000,male,high school,single,38,0
